# Sequence-ID	TFO start	TFO end	Duplex-ID	TTS start	TTS end	Score	Error-rate	Errors	Motif	Strand	Orientation	Guanine-rate
TCONS_00011600	307	324		190	207	17	0		Y	-	P	0.65
TCONS_00011600	308	324		214	230	16	0		Y	-	P	0.62
TCONS_00011600	241	257		969	985	16	0		Y	-	P	0.75
TCONS_00011600	206	222		895	911	16	0		Y	-	P	0.75
TCONS_00011600	347	362		902	917	15	0		Y	-	P	0.67
TCONS_00011600	228	248		0	20	19	0.05	t9	Y	+	P	0.8
TCONS_00011600	233	253		0	20	19	0.05	t9	Y	+	P	0.8
TCONS_00011600	248	263		404	419	15	0		Y	+	P	0.67
TCONS_00011600	204	222		864	882	18	0		Y	-	P	0.72
TCONS_00011600	211	234		764	787	22	0.043	t9	Y	-	P	0.7
TCONS_00011600	225	249		764	788	23	0.042	t10	Y	-	P	0.75
TCONS_00011600	229	253		765	789	23	0.042	t9	Y	-	P	0.75
TCONS_00011600	234	260		768	794	25	0.038	t21	Y	-	P	0.73
TCONS_00011600	239	264		764	789	24	0.04	t3	Y	-	P	0.72
TCONS_00011600	249	269		774	794	19	0.05	t8	Y	-	P	0.65
TCONS_00011600	221	241		497	517	19	0.05	t13	Y	+	P	0.65
TCONS_00011600	227	243		548	564	16	0		Y	+	P	0.75
TCONS_00011600	232	248		548	564	16	0		Y	+	P	0.75
TCONS_00011600	237	253		548	564	16	0		Y	+	P	0.75
TCONS_00011600	342	357		526	541	15	0		Y	+	P	0.67
TCONS_00011600	242	257		982	997	15	0		Y	-	P	0.73
TCONS_00011600	245	260		686	701	15	0		Y	-	P	0.73
TCONS_00011601	309	325		251	267	16	0		Y	-	P	0.69
TCONS_00011601	309	325		233	249	16	0		Y	-	P	0.69
TCONS_00011601	309	326		208	225	17	0		Y	-	P	0.65
TCONS_00011601	309	326		202	219	17	0		Y	-	P	0.65
TCONS_00011601	309	326		190	207	17	0		Y	-	P	0.65
TCONS_00011601	310	326		214	230	16	0		Y	-	P	0.62
TCONS_00011601	243	259		969	985	16	0		Y	-	P	0.75
TCONS_00011601	208	224		895	911	16	0		Y	-	P	0.75
TCONS_00011601	349	364		902	917	15	0		Y	-	P	0.67
TCONS_00011601	230	250		0	20	19	0.05	t9	Y	+	P	0.8
TCONS_00011601	235	255		0	20	19	0.05	t9	Y	+	P	0.8
TCONS_00011601	250	265		404	419	15	0		Y	+	P	0.67
TCONS_00011601	206	224		864	882	18	0		Y	-	P	0.72
TCONS_00011601	213	236		764	787	22	0.043	t9	Y	-	P	0.7
TCONS_00011601	227	251		764	788	23	0.042	t10	Y	-	P	0.75
TCONS_00011601	231	255		765	789	23	0.042	t9	Y	-	P	0.75
TCONS_00011601	236	262		768	794	25	0.038	t21	Y	-	P	0.73
TCONS_00011601	241	266		764	789	24	0.04	t3	Y	-	P	0.72
TCONS_00011601	251	271		774	794	19	0.05	t8	Y	-	P	0.65
TCONS_00011601	223	243		497	517	19	0.05	t13	Y	+	P	0.65
TCONS_00011601	229	245		548	564	16	0		Y	+	P	0.75
TCONS_00011601	234	250		548	564	16	0		Y	+	P	0.75
TCONS_00011601	239	255		548	564	16	0		Y	+	P	0.75
TCONS_00011601	344	359		526	541	15	0		Y	+	P	0.67
TCONS_00011601	244	259		982	997	15	0		Y	-	P	0.73
TCONS_00011601	247	262		686	701	15	0		Y	-	P	0.73
TCONS_00011642	1607	1622		648	663	15	0		Y	+	P	0.6
TCONS_00021426	15	30		300	315	15	0		R	+	A	0.4
TCONS_00021426	126	144		224	242	18	0		R	-	A	0.67
TCONS_00021427	31	46		300	315	15	0		R	+	A	0.4
TCONS_00029122	225	242		270	287	17	0		Y	-	P	0.65
TCONS_00039408	1414	1430		813	829	16	0		R	+	A	0.56
TCONS_00039408	1407	1422		674	689	15	0		R	-	A	0.47
TCONS_00039410	1414	1430		813	829	16	0		R	+	A	0.56
TCONS_00039410	1407	1422		674	689	15	0		R	-	A	0.47
TCONS_00039411	7054	7069		731	746	15	0		Y	+	P	0.47
TCONS_00049112	165	180		75	90	15	0		R	+	A	0.47
TCONS_00051592	2634	2649		491	506	15	0		Y	+	P	0.13
TCONS_00051592	1782	1797		205	220	15	0		M	-	P	0.33
TCONS_00051592	1779	1794		205	220	15	0		M	-	A	0.33
TCONS_00052443	5986	6002		684	700	16	0		R	-	A	0.38
TCONS_00052443	5957	5972		84	99	15	0		R	-	A	0.67
TCONS_00052443	5961	5981		736	756	19	0.05	t7	R	+	A	0.75
TCONS_00052443	5957	5977		340	360	19	0.05	t17	R	-	A	0.6
TCONS_00052443	5955	5973		251	269	18	0		R	-	A	0.67
TCONS_00052443	2703	2723		322	342	19	0.05	t10	M	-	P	0.1
TCONS_00052443	2702	2722		644	664	19	0.05	t9	M	-	P	0.15
TCONS_00052443	2704	2720		340	356	16	0		M	-	P	0.19
TCONS_00052443	2705	2721		340	356	16	0		M	-	A	0.19
TCONS_00052443	5708	5723		491	506	15	0		M	+	A	0.13
TCONS_00053188	800	815		123	138	15	0		Y	+	P	0.33
TCONS_00063124	124	139		818	833	15	0		R	+	A	0.53
TCONS_00064084	206	222		719	735	16	0		R	-	A	0.56
TCONS_00064084	170	186		719	735	16	0		R	-	A	0.56
TCONS_00064084	284	299		564	579	15	0		R	+	A	0.47
TCONS_00064084	301	316		950	965	15	0		R	-	A	0.33
TCONS_00064084	473	488		265	280	15	0		R	-	A	0.47
TCONS_00064084	442	457		563	578	15	0		R	+	A	0.6
TCONS_00064084	707	722		848	863	15	0		R	+	A	0.6
TCONS_00064084	552	567		265	280	15	0		R	-	A	0.47
TCONS_00064084	775	791		786	802	16	0		R	+	A	0.44
TCONS_00064084	596	612		949	965	16	0		R	-	A	0.31
TCONS_00064084	2283	2299		490	506	16	0		M	+	P	0.12
TCONS_00064084	2293	2313		853	873	19	0.05	t17	M	+	P	0.15
TCONS_00064084	2290	2306		188	204	16	0		M	-	P	0.19
TCONS_00064084	2288	2303		303	318	15	0		M	-	P	0.13
TCONS_00064084	2293	2312		323	342	19	0		M	-	P	0.11
TCONS_00064084	2293	2312		644	663	19	0		M	-	P	0.11
TCONS_00064084	2297	2312		806	821	15	0		M	+	P	0.13
TCONS_00064084	2294	2310		347	363	16	0		M	-	P	0.12
TCONS_00064084	2292	2313		621	642	20	0.048	d19	M	-	P	0.14
TCONS_00064084	2288	2308		883	903	19	0.05	t16	M	+	P	0.15
TCONS_00064084	2292	2313		440	461	20	0.048	d19	M	-	P	0.14
TCONS_00064084	2295	2312		853	870	17	0		M	+	A	0.12
TCONS_00064084	2288	2304		303	319	16	0		M	-	A	0.12
TCONS_00064084	2292	2312		322	342	20	0		M	-	A	0.1
TCONS_00064084	2290	2310		320	340	19	0.05	t1	M	-	A	0.1
TCONS_00064084	2293	2313		644	664	20	0		M	-	A	0.15
TCONS_00064084	2292	2308		806	822	16	0		M	+	A	0.12
TCONS_00064084	2295	2311		347	363	16	0		M	-	A	0.12
TCONS_00064084	2293	2311		622	640	18	0		M	-	A	0.11
TCONS_00064084	2288	2303		883	898	15	0		M	+	A	0.13
TCONS_00064084	2293	2311		441	459	18	0		M	-	A	0.11
TCONS_00065788	1874	1889		733	748	15	0		R	-	A	0.87
TCONS_00065788	1870	1886		769	785	16	0		R	+	A	0.81
TCONS_00065788	1872	1887		735	750	15	0		R	+	A	0.87
TCONS_00065788	1872	1887		929	944	15	0		R	-	A	0.87
TCONS_00065789	1877	1892		733	748	15	0		R	-	A	0.87
TCONS_00065789	1873	1889		769	785	16	0		R	+	A	0.81
TCONS_00065789	1875	1890		735	750	15	0		R	+	A	0.87
TCONS_00065789	1875	1890		929	944	15	0		R	-	A	0.87
TCONS_00067824	1251	1266		863	878	15	0		R	-	A	0.73
TCONS_00067824	1243	1259		735	751	16	0		R	+	A	0.62
TCONS_00067824	1251	1266		980	995	15	0		R	-	A	0.73
TCONS_00068500	494	509		961	976	15	0		Y	-	P	0.67
TCONS_00068500	494	510		649	665	16	0		Y	+	P	0.69
TCONS_00071317	1262	1277		921	936	15	0		Y	-	P	0.67
TCONS_00071317	1274	1289		865	880	15	0		Y	+	P	0.4
TCONS_00071317	1245	1266		405	426	20	0.048	t4	Y	+	P	0.43
TCONS_00071317	1249	1264		239	254	15	0		Y	+	P	0.4
TCONS_00071317	1626	1641		968	983	15	0		M	-	P	0.73
TCONS_00071317	1625	1640		484	499	15	0		M	+	P	0.67
TCONS_00072816	1486	1501		490	505	15	0		M	+	P	0.13
TCONS_00073523	2619	2634		323	338	15	0		Y	+	P	0.2
TCONS_00073525	2619	2634		323	338	15	0		Y	+	P	0.2
TCONS_00075522	77	92		200	215	15	0		Y	-	P	0.4
TCONS_00075522	456	471		582	597	15	0		R	-	A	0.4
TCONS_00075522	1742	1762		322	342	19	0.05	t5	R	-	A	0.5
TCONS_00075522	1744	1762		315	333	18	0		R	-	A	0.5
TCONS_00076444	528	543		38	53	15	0		Y	+	P	0.27
TCONS_00076444	3905	3921		294	310	16	0		Y	+	P	0.31
TCONS_00079871	378	393		855	870	15	0		Y	+	P	0.8
TCONS_00079871	379	394		831	846	15	0		Y	+	P	0.8
TCONS_00082787	1468	1486		854	872	18	0		M	+	P	0.17
TCONS_00082787	1468	1484		325	341	16	0		M	-	P	0.12
TCONS_00082787	1468	1484		646	662	16	0		M	-	P	0.12
TCONS_00082787	1468	1484		347	363	16	0		M	-	P	0.12
TCONS_00082787	1468	1484		624	640	16	0		M	-	P	0.12
TCONS_00082787	1468	1484		443	459	16	0		M	-	P	0.12
TCONS_00082787	1469	1484		855	870	15	0		M	+	A	0.13
TCONS_00082787	1468	1484		324	340	16	0		M	-	A	0.12
TCONS_00082787	1468	1484		645	661	16	0		M	-	A	0.12
TCONS_00082787	1469	1484		347	362	15	0		M	-	A	0.13
TCONS_00082787	1468	1484		623	639	16	0		M	-	A	0.12
TCONS_00082787	1468	1484		442	458	16	0		M	-	A	0.12
TCONS_00087985	3259	3276		651	668	17	0		R	-	A	0.12
TCONS_00087985	3260	3276		276	292	16	0		R	+	A	0.12
TCONS_00087985	3262	3277		619	634	15	0		R	-	A	0.13
TCONS_00087985	3262	3277		438	453	15	0		R	-	A	0.13
TCONS_00091949	1935	1950		491	506	15	0		R	+	A	0.13
TCONS_00091949	1931	1946		303	318	15	0		R	-	A	0.13
TCONS_00091949	1929	1946		883	900	17	0		R	+	A	0.18
TCONS_00091950	1935	1950		491	506	15	0		R	+	A	0.13
TCONS_00091950	1931	1946		303	318	15	0		R	-	A	0.13
TCONS_00091950	1929	1946		883	900	17	0		R	+	A	0.18
TCONS_00092424	2560	2576		489	505	16	0		Y	+	P	0.12
TCONS_00092424	2567	2587		875	895	19	0.05	d7	Y	+	P	0.3
TCONS_00097687	1190	1210		308	328	19	0.05	o15	Y	-	P	0.1
TCONS_00097687	1191	1211		307	327	19	0.05	o16	Y	-	P	0.1
TCONS_00097687	1195	1210		288	303	15	0		Y	+	P	0.13
TCONS_00097687	1521	1536		171	186	15	0		R	-	A	0.27
TCONS_00118745	3229	3245		791	807	16	0		M	-	P	0.75
TCONS_00140475	2325	2340		247	262	15	0		Y	-	P	0.27
TCONS_00140475	1827	1842		855	870	15	0		M	+	P	0.13
TCONS_00140475	1832	1848		854	870	16	0		M	+	P	0.12
TCONS_00140475	1838	1854		854	870	16	0		M	+	P	0.12
TCONS_00140475	1844	1860		854	870	16	0		M	+	P	0.12
TCONS_00140475	1850	1866		854	870	16	0		M	+	P	0.12
TCONS_00140475	1856	1872		854	870	16	0		M	+	P	0.12
TCONS_00140475	1827	1847		320	340	19	0.05	t3	M	-	P	0.1
TCONS_00140475	1832	1852		321	341	19	0.05	t2	M	-	P	0.1
TCONS_00140475	1833	1853		320	340	19	0.05	t3	M	-	P	0.1
TCONS_00140475	1838	1858		321	341	19	0.05	t2	M	-	P	0.1
TCONS_00140475	1839	1859		320	340	19	0.05	t3	M	-	P	0.1
TCONS_00140475	1844	1864		321	341	19	0.05	t2	M	-	P	0.1
TCONS_00140475	1845	1865		320	340	19	0.05	t3	M	-	P	0.1
TCONS_00140475	1850	1870		321	341	19	0.05	t2	M	-	P	0.1
TCONS_00140475	1851	1871		320	340	19	0.05	t3	M	-	P	0.1
TCONS_00140475	1856	1874		323	341	18	0		M	-	P	0.11
TCONS_00140475	1827	1843		645	661	16	0		M	-	P	0.12
TCONS_00140475	1832	1849		645	662	17	0		M	-	P	0.12
TCONS_00140475	1838	1855		645	662	17	0		M	-	P	0.12
TCONS_00140475	1844	1861		645	662	17	0		M	-	P	0.12
TCONS_00140475	1850	1867		645	662	17	0		M	-	P	0.12
TCONS_00140475	1856	1874		644	662	18	0		M	-	P	0.11
TCONS_00140475	1859	1874		806	821	15	0		M	+	P	0.13
TCONS_00140475	1827	1842		347	362	15	0		M	-	P	0.13
TCONS_00140475	1832	1848		347	363	16	0		M	-	P	0.12
TCONS_00140475	1838	1854		347	363	16	0		M	-	P	0.12
TCONS_00140475	1844	1860		347	363	16	0		M	-	P	0.12
TCONS_00140475	1850	1866		347	363	16	0		M	-	P	0.12
TCONS_00140475	1856	1872		347	363	16	0		M	-	P	0.12
TCONS_00140475	1827	1843		623	639	16	0		M	-	P	0.12
TCONS_00140475	1829	1849		623	643	19	0.05	d17	M	-	P	0.1
TCONS_00140475	1835	1855		623	643	19	0.05	d17	M	-	P	0.1
TCONS_00140475	1841	1861		623	643	19	0.05	d17	M	-	P	0.1
TCONS_00140475	1847	1867		623	643	19	0.05	d17	M	-	P	0.1
TCONS_00140475	1853	1875		621	643	21	0.045	d19	M	-	P	0.14
TCONS_00140475	1827	1843		442	458	16	0		M	-	P	0.12
TCONS_00140475	1829	1849		442	462	19	0.05	d17	M	-	P	0.1
TCONS_00140475	1835	1855		442	462	19	0.05	d17	M	-	P	0.1
TCONS_00140475	1841	1861		442	462	19	0.05	d17	M	-	P	0.1
TCONS_00140475	1847	1867		442	462	19	0.05	d17	M	-	P	0.1
TCONS_00140475	1853	1875		440	462	21	0.045	d19	M	-	P	0.14
TCONS_00140475	1857	1874		853	870	17	0		M	+	A	0.12
TCONS_00140475	1851	1867		854	870	16	0		M	+	A	0.12
TCONS_00140475	1845	1861		854	870	16	0		M	+	A	0.12
TCONS_00140475	1839	1855		854	870	16	0		M	+	A	0.12
TCONS_00140475	1833	1849		854	870	16	0		M	+	A	0.12
TCONS_00140475	1827	1843		854	870	16	0		M	+	A	0.12
TCONS_00140475	1854	1874		322	342	19	0.05	t1	M	-	A	0.1
TCONS_00140475	1853	1873		321	341	19	0.05	t2	M	-	A	0.1
TCONS_00140475	1852	1872		320	340	19	0.05	t3	M	-	A	0.1
TCONS_00140475	1847	1867		321	341	19	0.05	t2	M	-	A	0.1
TCONS_00140475	1846	1866		320	340	19	0.05	t3	M	-	A	0.1
TCONS_00140475	1841	1861		321	341	19	0.05	t2	M	-	A	0.1
TCONS_00140475	1840	1860		320	340	19	0.05	t3	M	-	A	0.1
TCONS_00140475	1835	1855		321	341	19	0.05	t2	M	-	A	0.1
TCONS_00140475	1834	1854		320	340	19	0.05	t3	M	-	A	0.1
TCONS_00140475	1829	1849		321	341	19	0.05	t2	M	-	A	0.1
TCONS_00140475	1828	1848		320	340	19	0.05	t3	M	-	A	0.1
TCONS_00140475	1817	1843		315	341	25	0.038	o9	M	-	A	0.12
TCONS_00140475	1856	1875		645	664	19	0		M	-	A	0.16
TCONS_00140475	1850	1867		645	662	17	0		M	-	A	0.12
TCONS_00140475	1844	1861		645	662	17	0		M	-	A	0.12
TCONS_00140475	1838	1855		645	662	17	0		M	-	A	0.12
TCONS_00140475	1832	1849		645	662	17	0		M	-	A	0.12
TCONS_00140475	1827	1843		646	662	16	0		M	-	A	0.12
TCONS_00140475	1851	1867		347	363	16	0		M	-	A	0.12
TCONS_00140475	1857	1873		347	363	16	0		M	-	A	0.12
TCONS_00140475	1845	1861		347	363	16	0		M	-	A	0.12
TCONS_00140475	1839	1855		347	363	16	0		M	-	A	0.12
TCONS_00140475	1833	1849		347	363	16	0		M	-	A	0.12
TCONS_00140475	1827	1843		347	363	16	0		M	-	A	0.12
TCONS_00140475	1856	1873		623	640	17	0		M	-	A	0.12
TCONS_00140475	1850	1870		623	643	19	0.05	d17	M	-	A	0.1
TCONS_00140475	1844	1864		623	643	19	0.05	d17	M	-	A	0.1
TCONS_00140475	1838	1858		623	643	19	0.05	d17	M	-	A	0.1
TCONS_00140475	1832	1852		623	643	19	0.05	d17	M	-	A	0.1
TCONS_00140475	1827	1843		624	640	16	0		M	-	A	0.12
TCONS_00140475	1856	1873		442	459	17	0		M	-	A	0.12
TCONS_00140475	1850	1870		442	462	19	0.05	d17	M	-	A	0.1
TCONS_00140475	1844	1864		442	462	19	0.05	d17	M	-	A	0.1
TCONS_00140475	1838	1858		442	462	19	0.05	d17	M	-	A	0.1
TCONS_00140475	1832	1852		442	462	19	0.05	d17	M	-	A	0.1
TCONS_00140475	1827	1843		443	459	16	0		M	-	A	0.12
TCONS_00140475	2267	2282		309	324	15	0		M	-	P	0.13
TCONS_00140475	2267	2282		287	302	15	0		M	+	P	0.13
TCONS_00140475	2264	2281		142	159	17	0		M	-	P	0.18
TCONS_00140475	2265	2281		147	163	16	0		M	-	P	0.19
TCONS_00140475	2264	2280		450	466	16	0		M	-	P	0.19
TCONS_00140475	2270	2286		856	872	16	0		M	+	A	0.19
TCONS_00140475	2264	2286		317	339	21	0.045	t7	M	-	A	0.14
TCONS_00140475	2267	2282		310	325	15	0		M	-	A	0.13
TCONS_00140475	2264	2281		144	161	17	0		M	-	A	0.18
TCONS_00140475	2266	2282		88	104	16	0		M	+	A	0.19
TCONS_00140475	2264	2279		451	466	15	0		M	-	A	0.2
TCONS_00140477	624	640		854	870	16	0		M	+	P	0.12
TCONS_00140477	624	640		325	341	16	0		M	-	P	0.12
TCONS_00140477	624	640		646	662	16	0		M	-	P	0.12
TCONS_00140477	624	640		347	363	16	0		M	-	P	0.12
TCONS_00140477	624	640		624	640	16	0		M	-	P	0.12
TCONS_00140477	624	640		443	459	16	0		M	-	P	0.12
TCONS_00140477	625	640		855	870	15	0		M	+	A	0.13
TCONS_00140477	624	640		324	340	16	0		M	-	A	0.12
TCONS_00140477	624	640		645	661	16	0		M	-	A	0.12
TCONS_00140477	625	640		347	362	15	0		M	-	A	0.13
TCONS_00140477	624	640		623	639	16	0		M	-	A	0.12
TCONS_00140477	624	640		442	458	16	0		M	-	A	0.12
TCONS_00140794	425	440		309	324	15	0		M	-	P	0.13
TCONS_00140794	425	440		287	302	15	0		M	+	P	0.13
TCONS_00140794	423	439		147	163	16	0		M	-	P	0.19
TCONS_00140794	419	439		142	162	19	0.05	o18	M	-	P	0.2
TCONS_00140794	422	438		450	466	16	0		M	-	P	0.19
TCONS_00140794	425	440		310	325	15	0		M	-	A	0.13
TCONS_00140794	421	436		148	163	15	0		M	-	A	0.2
TCONS_00140794	421	439		143	161	18	0		M	-	A	0.17
TCONS_00140794	424	440		88	104	16	0		M	+	A	0.19
TCONS_00140794	421	437		450	466	16	0		M	-	A	0.19
TCONS_00141346	1458	1473		183	198	15	0		R	-	A	0.73
TCONS_00141350	124	139		907	922	15	0		R	+	A	0.53
TCONS_00141358	124	139		907	922	15	0		R	+	A	0.53
TCONS_00151055	1417	1437		309	329	19	0.05	o17	Y	-	P	0.1
TCONS_00151055	1422	1437		287	302	15	0		Y	+	P	0.13
TCONS_00151055	1420	1436		87	103	16	0		Y	+	P	0.12
TCONS_00151055	1550	1565		382	397	15	0		R	+	A	0.2
TCONS_00151055	1548	1565		860	877	17	0		R	+	A	0.18
TCONS_00151055	1543	1566		303	326	22	0.043	t9	R	-	A	0.13
TCONS_00151055	1543	1564		647	668	20	0.048	t11	R	-	A	0.14
TCONS_00151055	1548	1563		393	408	15	0		R	-	A	0.2
TCONS_00151055	688	708		0	20	19	0.05	o14	M	+	A	0.85
TCONS_00152778	766	781		311	326	15	0		R	-	A	0.13
TCONS_00152778	766	781		87	102	15	0		R	+	A	0.13
TCONS_00167741	822	838		316	332	16	0		Y	-	P	0.12
TCONS_00169456	129	151		316	338	21	0.045	o8	R	-	A	0.55
TCONS_00169456	189	205		334	350	16	0		R	-	A	0.62
TCONS_00169456	186	209		322	345	22	0.043	t2	R	-	A	0.52
TCONS_00169456	189	209		316	336	19	0.05	t2	R	-	A	0.5
TCONS_00170397	2192	2207		495	510	15	0		R	+	A	0.6
TCONS_00201401	587	604		321	338	17	0		R	+	A	0.24
