# Sequence-ID	TFO start	TFO end	Duplex-ID	TTS start	TTS end	Score	Error-rate	Errors	Motif	Strand	Orientation	Guanine-rate
TCONS_00064084	445	460		289	304	14	0.067	t3	R	-	A	0.6
TCONS_00065788	1765	1781		289	305	15	0.062	t14	R	-	A	0.62
TCONS_00065789	1768	1784		289	305	15	0.062	t14	R	-	A	0.62
TCONS_00071317	2762	2778		297	313	15	0.062	t7	R	-	A	0.56
TCONS_00071317	2761	2776		289	304	14	0.067	t8	R	-	A	0.6
TCONS_00029122	225	241		970	986	15	0.062	t14	Y	-	P	0.62
TCONS_00067824	1242	1263		963	984	19	0.095	d6t15	R	-	A	0.62
TCONS_00067824	1245	1260		617	632	14	0.067	d10	R	-	A	0.6
TCONS_00052443	5961	5976		209	224	14	0.067	t12	R	-	A	0.73
TCONS_00151055	698	713		209	224	14	0.067	t3	M	-	P	0.8
TCONS_00051592	1745	1760		137	152	14	0.067	o2	M	-	A	0.27
TCONS_00140477	1021	1037		136	152	15	0.062	t1	Y	-	P	0.31
TCONS_00167746	1289	1310		138	159	19	0.095	t7d17	Y	-	P	0.29
TCONS_00063256	3479	3494		18	33	14	0.067	o12	R	-	A	0.33
TCONS_00097687	1535	1550		424	439	14	0.067	d1	R	-	A	0.4
TCONS_00021426	130	145		894	909	14	0.067	d6	R	-	A	0.6
TCONS_00065788	1876	1891		517	532	14	0.067	b9	M	-	P	0.87
TCONS_00065789	1879	1894		517	532	14	0.067	b9	M	-	P	0.87
TCONS_00021426	75	90		205	220	14	0.067	t2	R	-	A	0.33
TCONS_00051592	1780	1800		202	222	18	0.1	d2d18	M	-	P	0.35
TCONS_00051592	1782	1802		200	220	18	0.1	d1d4	M	-	P	0.3
TCONS_00051592	1779	1796		205	222	16	0.059	d15	M	-	A	0.35
TCONS_00052443	2689	2708		930	949	18	0.053	d8	M	+	P	0.26
TCONS_00076444	639	654		103	118	14	0.067	d3	R	+	A	0.47
TCONS_00075522	115	130		961	976	14	0.067	d6	Y	-	P	0.4
TCONS_00191313	77	92		796	811	14	0.067	t6	R	-	A	0.4
TCONS_00191314	77	92		796	811	14	0.067	t6	R	-	A	0.4
TCONS_00039405	949	964		510	525	14	0.067	o7	Y	-	P	0.33
TCONS_00039410	949	964		510	525	14	0.067	o7	Y	-	P	0.33
TCONS_00039411	46	61		510	525	14	0.067	o7	Y	-	P	0.33
TCONS_00071317	2764	2780		641	657	15	0.062	t4	R	+	A	0.56
TCONS_00039405	2551	2567		78	94	15	0.062	t5	Y	+	P	0.25
TCONS_00039411	3921	3937		78	94	15	0.062	t5	Y	+	P	0.25
TCONS_00072816	2546	2562		77	93	15	0.062	o3	M	+	P	0.19
TCONS_00114781	26	41		76	91	14	0.067	t8	Y	+	P	0.27
TCONS_00114781	23	39		77	93	15	0.062	t8	Y	+	P	0.25
TCONS_00151055	700	716		77	93	15	0.062	t3	Y	+	P	0.19
TCONS_00151055	1917	1932		76	91	14	0.067	t12	R	+	A	0.33
TCONS_00011596	206	221		924	939	14	0.067	t13	Y	-	P	0.6
TCONS_00011596	208	224		921	937	15	0.062	t2	Y	-	P	0.69
TCONS_00011596	258	273		922	937	14	0.067	t2	Y	-	P	0.6
TCONS_00011600	204	219		924	939	14	0.067	t13	Y	-	P	0.6
TCONS_00011600	206	222		921	937	15	0.062	t2	Y	-	P	0.69
TCONS_00011600	256	271		922	937	14	0.067	t2	Y	-	P	0.6
TCONS_00011601	206	221		924	939	14	0.067	t13	Y	-	P	0.6
TCONS_00011601	208	224		921	937	15	0.062	t2	Y	-	P	0.69
TCONS_00011601	258	273		922	937	14	0.067	t2	Y	-	P	0.6
TCONS_00071317	1260	1277		921	938	16	0.059	t15	Y	-	P	0.59
TCONS_00151055	694	709		793	808	14	0.067	d3	M	+	P	0.87
TCONS_00011596	331	346		812	827	14	0.067	t10	Y	-	P	0.6
TCONS_00011600	329	344		812	827	14	0.067	t10	Y	-	P	0.6
TCONS_00011601	331	346		812	827	14	0.067	t10	Y	-	P	0.6
TCONS_00011596	349	364		851	866	14	0.067	d2	Y	-	P	0.67
TCONS_00011600	347	362		851	866	14	0.067	d2	Y	-	P	0.67
TCONS_00011601	349	364		851	866	14	0.067	d2	Y	-	P	0.67
TCONS_00052443	5988	6003		53	68	14	0.067	d9	R	-	A	0.27
TCONS_00151055	694	710		735	751	15	0.062	b9	R	-	A	0.94
TCONS_00151055	697	712		736	751	14	0.067	d8	M	-	P	0.93
TCONS_00151055	694	710		735	751	15	0.062	d9	M	-	A	0.94
TCONS_00140475	1821	1841		532	552	18	0.1	b5d7	M	+	P	0.15
TCONS_00140475	2266	2286		532	552	18	0.1	d5d7	M	+	P	0.15
TCONS_00054058	1375	1390		938	953	14	0.067	b9	M	-	P	0.2
TCONS_00140475	2268	2283		938	953	14	0.067	d9	M	-	A	0.2
TCONS_00064084	298	313		985	1000	14	0.067	d9	R	-	A	0.47
TCONS_00064084	274	289		985	1000	14	0.067	d9	R	-	A	0.47
TCONS_00064084	265	280		985	1000	14	0.067	d9	R	-	A	0.47
TCONS_00064084	673	693		980	1000	18	0.1	d4d14	R	-	A	0.5
TCONS_00052443	5964	5979		60	75	14	0.067	d6	R	-	A	0.73
TCONS_00021426	226	242		782	798	15	0.062	t8	R	-	A	0.44
TCONS_00052443	6047	6062		779	794	14	0.067	o13	R	-	A	0.4
TCONS_00052443	6045	6060		777	792	14	0.067	t1	R	-	A	0.4
TCONS_00052443	6063	6078		774	789	14	0.067	t4	R	-	A	0.4
TCONS_00052443	6420	6435		784	799	14	0.067	t13	M	-	A	0.47
TCONS_00064084	296	312		774	790	15	0.062	t12	R	-	A	0.5
TCONS_00064084	400	415		774	789	14	0.067	t12	R	-	A	0.47
TCONS_00064084	217	233		776	792	15	0.062	o10	R	-	A	0.44
TCONS_00064084	730	746		774	790	15	0.062	o13	R	-	A	0.44
TCONS_00064084	727	743		771	787	15	0.062	d2	R	-	A	0.5
TCONS_00064084	717	733		776	792	15	0.062	t10	R	-	A	0.44
TCONS_00064084	676	692		774	790	15	0.062	t12	R	-	A	0.5
TCONS_00064084	673	688		771	786	14	0.067	d2	R	-	A	0.53
TCONS_00097687	1532	1548		781	797	15	0.062	t6	R	-	A	0.38
TCONS_00011596	347	362		600	615	14	0.067	t8	Y	+	P	0.53
TCONS_00011600	345	360		600	615	14	0.067	t8	Y	+	P	0.53
